quarter,gross_SR,net_SR,gross_PnL,net_PnL,gross_CR,net_CR,av_daily_ntrans,stat,stat_total
2023_Q1,-1.8998014729332586,-6.136764874220068,-50969.99999999898,-169409.99999999898,inf,inf,151.84615384615384,-34.06201312741687,-126.99804879135044
2023_Q3,2.5023948341892677,-4.022195762595603,43440.00000000087,-70799.99999999913,inf,inf,146.46153846153845,-19.26391632221875,-126.99804879135044
2023_Q4,1.693755002951227,-5.717079807873953,27000.00000000113,-92879.99999999886,inf,inf,153.69230769230768,-28.171505567635922,-126.99804879135044
2024_Q2,1.495041778298918,-3.736056828866109,32399.99999999984,-80400.00000000016,inf,inf,144.6153846153846,-18.58364135936057,-126.99804879135044
2024_Q4,1.7289934343610613,-3.3983588521630357,39059.99999999668,-77460.0000000033,inf,inf,147.49367088607596,-16.95693192697519,-126.99804879135044
2025_Q1,3.0091873355736043,-2.0505876038249236,72689.99999999878,-49650.00000000123,inf,inf,158.88311688311688,-9.96004048774315,-126.99804879135044
2025_Q2,4.545728216289631,-0.017415876977080972,109980.00000000121,-419.9999999988163,inf,inf,141.53846153846155,-0.0,-126.99804879135044
