win,z,hold_min,trend_span,vol_cap,stop_mult,net_SR,net_PnL,stat
64,0.675,3,100,6,2.0,0.7940027760540493,220859.99999999872,1.5868885147182628
64,0.675,3,100,6,2.5,0.7940027760540493,220859.99999999872,1.5868885147182628
64,0.675,3,100,6,3.0,0.7940027760540493,220859.99999999872,1.5868885147182628
62,0.7,3,100,8,2.0,0.7805832670439735,269000.0000000013,1.5697823970567817
62,0.7,3,100,8,2.5,0.7805832670439735,269000.0000000013,1.5697823970567817
62,0.7,3,100,8,3.0,0.7805832670439735,269000.0000000013,1.5697823970567817
64,0.675,4,100,6,2.0,0.7730896496868284,205290.00000000244,1.4540449794311838
64,0.675,4,100,6,2.5,0.7730896496868284,205290.00000000244,1.4540449794311838
64,0.675,4,100,6,3.0,0.7730896496868284,205290.00000000244,1.4540449794311838
64,0.7,3,100,6,2.0,0.7669808339468386,212460.00000000003,1.430684541179978
