quarter,gross_SR,net_SR,gross_PnL,net_PnL,gross_CR,net_CR,av_daily_ntrans,stat,stat_total
2023_Q1,-4.902655097562506,-16.585400187081024,-35639.99999999934,-154079.99999999933,inf,inf,151.84615384615384,-86.06722416362565,-598.8186236831331
2023_Q3,-7.354257981839677,-21.738645063557442,-35340.00000000034,-149580.00000000035,inf,inf,146.46153846153845,-111.36738430360376,-598.8186236831331
2023_Q4,-1.1959109319392194,-18.239300663900984,-7049.999999999342,-126929.99999999932,inf,inf,153.69230769230768,-90.76634668938466,-598.8186236831331
2024_Q2,-5.134268606069148,-15.339460722022494,-44220.00000000065,-157020.00000000067,inf,inf,144.6153846153846,-80.09022447189346,-598.8186236831331
2024_Q4,-1.839539183611308,-14.16735703120671,-14849.999999998214,-131369.99999999822,inf,inf,147.49367088607596,-71.54762822955432,-598.8186236831331
2025_Q1,-4.705996639243457,-16.14094875384617,-39449.99999999812,-161789.99999999814,inf,inf,158.88311688311688,-84.64084430093367,-598.8186236831331
2025_Q2,-3.8503357960415174,-14.492231204079054,-31979.99999999527,-142379.99999999526,inf,inf,141.53846153846155,-74.33897152413756,-598.8186236831331
